epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.264026403427124,1.7283185720443726,0.001,0.20000000298023224,1.5761029720306396
1,0.3333333432674408,1.5165131092071533,0.001,0.5428571701049805,1.3615639209747314
2,0.4587458670139313,1.3375786542892456,0.001,0.7428571581840515,0.9804506301879883
3,0.5082508325576782,1.165888786315918,0.001,0.5714285969734192,1.0946683883666992
4,0.594059407711029,1.0655465126037598,0.001,0.7714285850524902,0.6267378926277161
5,0.6468647122383118,0.9570125341415405,0.001,0.7428571581840515,0.7007847428321838
6,0.669966995716095,0.8781586289405823,0.001,0.8285714387893677,0.5118070840835571
7,0.7293729186058044,0.7243173718452454,0.001,0.800000011920929,0.5017603635787964
8,0.7854785323143005,0.6213718056678772,0.001,0.9428571462631226,0.27558326721191406
9,0.7590758800506592,0.5779350996017456,0.001,0.9142857193946838,0.2926137447357178
10,0.8448845148086548,0.4735613465309143,0.001,0.8571428656578064,0.30874931812286377
11,0.7986798882484436,0.5674120783805847,0.001,0.9142857193946838,0.36565256118774414
12,0.801980197429657,0.5305542349815369,0.001,0.9142857193946838,0.32044777274131775
13,0.8448845148086548,0.4434199929237366,0.001,0.8857142925262451,0.38847190141677856
14,0.8514851331710815,0.4243999421596527,0.001,0.8571428656578064,0.369832843542099
15,0.867986798286438,0.4102076292037964,0.001,1.0,0.11400207132101059
16,0.9042904376983643,0.28362882137298584,0.001,0.9142857193946838,0.23533745110034943
17,0.9108911156654358,0.2724355459213257,0.001,0.9428571462631226,0.1514858454465866
18,0.933993399143219,0.2402382493019104,0.001,0.9142857193946838,0.25142163038253784
19,0.8811880946159363,0.3463097810745239,0.001,0.800000011920929,0.6982489824295044
